q0,q1,q2,q3
-0.4258662602010594,-0.0022785075628841923,0.007959670593988603,-0.8122526708817395
-0.4775273764340292,-0.0025823729783586917,0.008780346664422154,-0.9107663685515497
-0.4575133339555763,-0.002522180603894903,0.008232292099457935,-0.8725793154849534
-0.46873385028737763,-0.0026055120956932345,0.008270380490749834,-0.8939118426134085
-0.46176462706377225,-0.0026226467662548176,0.007978215490104518,-0.8805830212907262
-0.4664293633438382,-0.002686839102718096,0.007904503395219089,-0.8894402120409303
-0.463497374191307,-0.002694818282077208,0.007697337392743479,-0.8838295244428772
-0.4651854213026507,-0.002750942016633215,0.0075657889363120075,-0.8870394313348188
-0.46416052030995614,-0.0027821711957294677,0.007389975554519646,-0.8850709300316422
-0.46471732007340316,-0.0028211396383690094,0.0072452187958636114,-0.8861150785311959
-0.4646484742241081,-0.0028488964359851374,0.007087197502052142,-0.8859606407477463
-0.46445337470243586,-0.002872157042180525,0.006918753660649919,-0.8855747928121984
-0.4643536999592395,-0.002897184589683934,0.006761213721789991,-0.8853616931846554
-0.464365512244517,-0.00291447535062571,0.006621864082457472,-0.8853562902745695
-0.4644750873208662,-0.002929425530581877,0.006487009222584692,-0.8855661574360268
-0.4646936305020704,-0.0029491935076186287,0.00635000559034986,-0.8859420143910601
-0.46448909683688216,-0.002956817926800798,0.006218540778537758,-0.8855607371882367
-0.4644007371794286,-0.0029488200189187646,0.0060994262058946215,-0.8853412215928343
-0.46440764197721635,-0.002962915521429906,0.005963155938924021,-0.8853388683682974
-0.46451483963792695,-0.0029523621900330163,0.005838665125046363,-0.8855497007990197
-0.46471784679562955,-0.002978447048398447,0.005725123861367043,-0.885933852001754
-0.46454348377941185,-0.003009305883093517,0.005577781327660559,-0.8855364647878105
-0.464459444821709,-0.0029803582161149816,0.005461821805360212,-0.8853149673750311
-0.4644500838178193,-0.0029634684541155246,0.005396067945106005,-0.8853201093389441
-0.4645696834474193,-0.00292781746797478,0.0052870146969980535,-0.8855240586759706
-0.4647062663893946,-0.0029678963157871723,0.005201639093371955,-0.8859427774764804
-0.46452460587397837,-0.0029400339427792578,0.0051186627902579255,-0.8855491932180495
-0.4643893123783141,-0.002908234185535875,0.005057440584973654,-0.8853541461297424
-0.464411902190825,-0.0029286284043149695,0.004946268010911125,-0.8853430756940474
-0.4645366329429741,-0.0028865403426561057,0.004901641770724039,-0.8855444721441149
-0.46478624326180334,-0.002844506947429132,0.004858951737223599,-0.8859036579936419
-0.4644522492121803,-0.0028984216683486546,0.004825987931234096,-0.8855889410116181
-0.464262843172626,-0.0029455454470024185,0.004751108334100062,-0.8854219490174785
-0.4643254092352935,-0.0028902504802007976,0.004685492690909416,-0.885389608696254
-0.4644243593276456,-0.0028548468592782157,0.004650192867838825,-0.8856044177236583
-0.4645493703384234,-0.0028820848575708364,0.004613897951023141,-0.8860290050932729
-0.4643279491678021,-0.0028397164463282373,0.004593003134672477,-0.8856550883773172
-0.4642445000566414,-0.0028594567902827323,0.004485989985306623,-0.8854332398342688
-0.46420994217532063,-0.0028372123881991672,0.004490418082006319,-0.8854520418046398
-0.4642513504864788,-0.0028154822226563593,0.00451843064975743,-0.8856959467804925
-0.46424511937514396,-0.002785669673797176,0.004644039002760956,-0.8861886415069323
-0.46402613001391385,-0.0027299636931482235,0.004673284474115983,-0.8858134604976053
-0.4639000804683984,-0.0026908256526666473,0.004663466474763203,-0.8856131531146919
-0.4637976630305629,-0.0025879048579326726,0.00475834086707382,-0.8856674909918172
-0.46400629495325213,-0.0024696719651428607,0.004783594836771008,-0.8858237260249311
-0.4642064529028922,-0.0023666636746829447,0.004869936223231312,-0.8862085427056403
-0.46384897433132394,-0.002395515831279506,0.004843337811377146,-0.8859059916880142
-0.4637732144458799,-0.002280110843541471,0.004895457851482406,-0.8856797058191131
-0.4636051539744626,-0.0022446735277242493,0.004952811550611178,-0.8857671780435293
-0.4634123092382075,-0.0023284786938071625,0.004972525120432922,-0.8861343927794683
-0.46357068302850035,-0.0023068515562841272,0.005015326816841705,-0.8865411395625297
-0.4632968054172153,-0.002274171520402078,0.005045597357769488,-0.8861944028075648
-0.46318186736256456,-0.002286181146707696,0.004987065936889009,-0.8859887299532776
-0.46318776131455613,-0.00222121322857368,0.005012810151606822,-0.8859852180717458
-0.46299483634444094,-0.0023036863660558776,0.0050148802371758755,-0.8863526661934971
-0.46321336970021076,-0.00225510781595228,0.005056751342938465,-0.8867278271291891
